Ani, Valoare;
1990, 314746;
1991, 275275;
1992, 260393;
1993, 249994;
1994, 246736;
1995, 236640;
1996, 231348;
1997, 236891;
1998, 237297;
1999, 234600;
2000, 234521;
2001, 220368;
2002, 210529;
2003, 212459;
2004, 216261;
2005, 221020;
2006, 219483;
2007, 214728;
2008, 221900;
2009, 222388;
2010, 212199;
2011, 196242;
2012, 201104;
2013, 214932;
2014, 202501;
2015, 206190;
2016, 209641;
2017, 214928;
2018, 214614;
2019, 215467;
2020, 211273;
2021, 196858;
2022, 182083;
