Sexe, Medii de rezidenta, Grupe de varsta , Ani, UM: Numar persoane, Valoare
Total, Total, Total,  2012, Numar persoane, 253716
Total, Total, Total,  2013, Numar persoane, 247475
Total, Total, Total,  2014, Numar persoane, 254965
Total, Total, Total,  2015, Numar persoane, 262442
Total, Total, Total,  2016, Numar persoane, 258404
Total, Total, Total,  2017, Numar persoane, 262321
Total, Total, Total,  2018, Numar persoane, 264963
Total, Total, Total,  2019, Numar persoane, 260877
Total, Total, Total,  2020, Numar persoane, 299524
Total, Total, Total,  2021, Numar persoane, 335527
Total, Total, Total,  2022, Numar persoane, 272953
